instance class,predicted class,recall(0),recall(1),avg-gmean,timestamp,total timeelapsed in nanoseconds,total timeelapsed in seconds 
0,0,100.0,0.0,0.0,1143467626,62439082201,62
0,0,100.0,0.0,0.0,1143489078,62439082201,62
0,0,100.0,0.0,0.0,1143528058,62439082201,62
0,0,100.0,0.0,0.0,1143528343,62439082201,62
0,0,100.0,0.0,0.0,1143528575,62439082201,62
0,0,100.0,0.0,0.0,1143562674,62439082201,62
0,0,100.0,0.0,0.0,1143564801,62439082201,62
0,0,100.0,0.0,0.0,1143564900,62439082201,62
0,0,100.0,0.0,0.0,1143640684,62439082201,62
0,0,100.0,0.0,0.0,1143640801,62439082201,62
0,0,100.0,0.0,0.0,1143643192,62439082201,62
1,0,100.0,0.0,0.0,1143680122,62439082201,62
0,0,100.0,0.0,0.0,1143712857,62439082201,62
0,0,100.0,0.0,0.0,1143725279,62439082201,62
0,0,100.0,0.0,0.0,1143725524,62439082201,62
0,0,100.0,0.0,0.0,1143731311,62439082201,62
0,0,100.0,0.0,0.0,1143731413,62439082201,62
0,0,100.0,0.0,0.0,1143740479,62439082201,62
0,0,100.0,0.0,0.0,1143740526,62439082201,62
0,0,100.0,0.0,0.0,1144108833,62439082201,62
0,0,100.0,0.0,0.0,1144108911,62439082201,62
1,0,100.0,0.0,0.0,1144108994,62439082201,62
0,0,100.0,0.0,0.0,1144109030,62439082201,62
0,0,100.0,0.0,0.0,1144171182,62439082201,62
0,0,100.0,0.0,0.0,1144190049,62439082201,62
1,0,100.0,0.0,0.0,1144332585,62439082201,62
0,0,100.0,0.0,0.0,1144332834,62439082201,62
0,0,100.0,0.0,0.0,1144333754,62439082201,62
0,0,100.0,0.0,0.0,1144367076,62439082201,62
1,0,100.0,0.0,0.0,1144367225,62439082201,62
0,0,100.0,0.0,0.0,1144455156,62439082201,62
1,0,100.0,0.0,0.0,1144600689,62439082201,62
0,0,100.0,0.0,0.0,1144632979,62439082201,62
0,0,100.0,0.0,0.0,1144634478,62439082201,62
0,0,100.0,0.0,0.0,1144769764,62439082201,62
1,0,100.0,0.0,0.0,1144839281,62439082201,62
1,1,100.0,14.720028279984273,38.366689041386245,1144847899,62439082201,62
1,0,100.0,12.814653863174758,35.79756117834671,1144848722,62439082201,62
0,0,100.0,12.814653863174758,35.79756117834671,1144848857,62439082201,62
0,0,100.0,12.814653863174758,35.79756117834671,1144857702,62439082201,62
